"trip_id","start_time","stop_time","bike_id","trip_duration","from_station_id","from_station_name","to_station_id","to_station_name","user_type","gender","birth_year","from_latitude","from_longitude","from_location","to_latitude","to_longitude","to_location"
"25956311","2019-12-29T17:04:49.000","2019-12-29T17:30:56.000","1468","1566","25","Michigan Ave & Pearson St","624","Dearborn St & Van Buren St","Customer",,,"41.89766","-87.62351","POINT (-87.62351 41.89766)","41.876268","-87.629155","POINT (-87.629155 41.876268)"
"25956307","2019-12-29T17:03:56.000","2019-12-29T17:36:35.000","5994","1958","25","Michigan Ave & Pearson St","37","Dearborn St & Adams St","Customer",,,"41.89766","-87.62351","POINT (-87.62351 41.89766)","41.879356359","-87.629791036","POINT (-87.6297910363 41.8793563587)"
"25956303","2019-12-29T17:03:17.000","2019-12-29T17:14:51.000","935","694","255","Indiana Ave & Roosevelt Rd","282","Halsted St & Maxwell St","Customer","Male","1966","41.867888","-87.623041","POINT (-87.623041 41.867888)","41.864883","-87.647071","POINT (-87.647071 41.864883)"
"25956302","2019-12-29T17:02:29.000","2019-12-29T17:30:44.000","5835","1694","25","Michigan Ave & Pearson St","624","Dearborn St & Van Buren St","Customer",,,"41.89766","-87.62351","POINT (-87.62351 41.89766)","41.876268","-87.629155","POINT (-87.629155 41.876268)"
"25956301","2019-12-29T17:01:29.000","2019-12-29T17:26:00.000","2987","1471","112","Green St & Randolph St","71","Morgan St & Lake St","Customer","Male","1980","41.883668","-87.64867","POINT (-87.64867 41.883668)","41.885483308","-87.652304856","POINT (-87.6523048564 41.8854833079)"
"25956294","2019-12-29T16:59:39.000","2019-12-29T17:57:08.000","1518","3448","283","LaSalle St & Jackson Blvd","283","LaSalle St & Jackson Blvd","Customer",,,"41.878166","-87.631929","POINT (-87.631929 41.878166)","41.878166","-87.631929","POINT (-87.631929 41.878166)"
"25956290","2019-12-29T16:59:14.000","2019-12-29T17:57:02.000","2770","3467","283","LaSalle St & Jackson Blvd","283","LaSalle St & Jackson Blvd","Customer",,,"41.878166","-87.631929","POINT (-87.631929 41.878166)","41.878166","-87.631929","POINT (-87.631929 41.878166)"
"25956289","2019-12-29T16:58:29.000","2019-12-29T17:57:03.000","714","3514","283","LaSalle St & Jackson Blvd","283","LaSalle St & Jackson Blvd","Customer",,,"41.878166","-87.631929","POINT (-87.631929 41.878166)","41.878166","-87.631929","POINT (-87.631929 41.878166)"
"25956288","2019-12-29T16:58:15.000","2019-12-29T17:56:36.000","5244","3500","283","LaSalle St & Jackson Blvd","283","LaSalle St & Jackson Blvd","Customer",,,"41.878166","-87.631929","POINT (-87.631929 41.878166)","41.878166","-87.631929","POINT (-87.631929 41.878166)"
"25956284","2019-12-29T16:57:57.000","2019-12-29T17:57:20.000","771","3562","283","LaSalle St & Jackson Blvd","283","LaSalle St & Jackson Blvd","Customer",,,"41.878166","-87.631929","POINT (-87.631929 41.878166)","41.878166","-87.631929","POINT (-87.631929 41.878166)"
"25956282","2019-12-29T16:57:43.000","2019-12-29T17:56:51.000","526","3547","283","LaSalle St & Jackson Blvd","283","LaSalle St & Jackson Blvd","Customer",,,"41.878166","-87.631929","POINT (-87.631929 41.878166)","41.878166","-87.631929","POINT (-87.631929 41.878166)"
"25956280","2019-12-29T16:57:13.000","2019-12-29T17:17:33.000","5570","1219","141","Clark St & Lincoln Ave","222","Milwaukee Ave & Rockwell St","Customer",,,"41.915689","-87.6346","POINT (-87.6346 41.915689)","41.920195","-87.693033","POINT (-87.693033 41.920195)"
"25956277","2019-12-29T16:56:26.000","2019-12-29T17:17:54.000","3898","1288","150","Fort Dearborn Dr & 31st St","72","Wabash Ave & 16th St","Customer","Female","1989","41.838556","-87.608218","POINT (-87.608218 41.838556)","41.860384","-87.625813","POINT (-87.625813 41.860384)"
"25956274","2019-12-29T16:55:09.000","2019-12-29T17:22:56.000","906","1667","76","Lake Shore Dr & Monroe St","99","Lake Shore Dr & Ohio St","Customer",,,"41.880958","-87.616743","POINT (-87.616743 41.880958)","41.89257","-87.614492","POINT (-87.614492 41.89257)"
"25956264","2019-12-29T16:53:30.000","2019-12-29T17:15:38.000","1182","1328","76","Lake Shore Dr & Monroe St","35","Streeter Dr & Grand Ave","Customer",,,"41.880958","-87.616743","POINT (-87.616743 41.880958)","41.892278","-87.612043","POINT (-87.612043 41.892278)"
"25956262","2019-12-29T16:53:16.000","2019-12-29T17:22:06.000","1323","1729","47","State St & Kinzie St","177","Theater on the Lake","Customer",,,"41.889187","-87.627754","POINT (-87.627754 41.889187)","41.926277","-87.630834","POINT (-87.630834 41.926277)"
"25956261","2019-12-29T16:53:11.000","2019-12-29T17:15:41.000","1954","1350","76","Lake Shore Dr & Monroe St","35","Streeter Dr & Grand Ave","Customer",,,"41.880958","-87.616743","POINT (-87.616743 41.880958)","41.892278","-87.612043","POINT (-87.612043 41.892278)"
"25956258","2019-12-29T16:52:59.000","2019-12-29T17:22:06.000","5550","1746","47","State St & Kinzie St","177","Theater on the Lake","Customer",,,"41.889187","-87.627754","POINT (-87.627754 41.889187)","41.926277","-87.630834","POINT (-87.630834 41.926277)"
"25956257","2019-12-29T16:52:43.000","2019-12-29T17:49:58.000","1716","3435","415","Calumet Ave & 51st St","284","Michigan Ave & Jackson Blvd","Customer",,,"41.802294651","-87.61805358","POINT (-87.6180535802 41.80229465088)","41.87785","-87.62408","POINT (-87.62408 41.87785)"
"25956251","2019-12-29T16:51:34.000","2019-12-29T20:00:00.000","1238","11306","41","Federal St & Polk St","394","Clark St & 9th St (AMLI)","Customer",,,"41.872077633","-87.629543773","POINT (-87.6295437729 41.87207763285)","41.870816","-87.631246","POINT (-87.631246 41.870816)"
"25956248","2019-12-29T16:51:29.000","2019-12-29T20:00:19.000","2743","11329","41","Federal St & Polk St","394","Clark St & 9th St (AMLI)","Customer",,,"41.872077633","-87.629543773","POINT (-87.6295437729 41.87207763285)","41.870816","-87.631246","POINT (-87.631246 41.870816)"
